page,region_id,reading_order_start,reading_order_end,confidence,empty,needs_review,review_reasons,low_confidence_line_count,crop_path,text_preview
page_0003,page_0003_raw_0005,1,1,0.7248,False,False,,6,layout_output\raw_box_crops\page_0003\page_0003_raw_0005.png,قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١٧ه / الموافق١ / ي / ا / اع و ل ي يي ي ية / اة / ال قي ة يو ي ي للول و و ل ل ي / ليو ي ي ي و لي ة ع ي ٥ ة ة / المادة ٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به ا
page_0003,page_0003_raw_0010,2,2,0.9062,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0010.png,التجارة / قانون / رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_raw_0013,3,3,0.4348,False,True,low_clean_ocr_confidence,2,layout_output\raw_box_crops\page_0003\page_0003_raw_0013.png,اإر / يا
page_0003,page_0003_raw_0006,4,4,0.7608,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0006.png,رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_raw_0018,5,5,0.8317,False,False,,3,layout_output\raw_box_crops\page_0003\page_0003_raw_0018.png,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع
page_0003,page_0003_raw_0021,6,6,0.8842,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0021.png,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١ / الموافق٢
page_0003,page_0003_raw_0017,7,7,0.9653,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0017.png,رئيس الجمهورية
page_0003,page_0003_raw_0019,8,8,0.9253,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0019.png,بناءَ على أحكام الدستور
page_0003,page_0003_raw_0015,9,9,0.7939,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0015.png,وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١
page_0003,page_0003_raw_0020,10,10,0.9674,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0020.png,يلي / يصدر
page_0003,page_0003_raw_0011,11,11,0.9279,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0011.png,المادة
page_0003,page_0003_raw_0007,12,12,0.9566,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0007.png,تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه
page_0003,page_0003_raw_0012,13,13,0.9069,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0012.png,المادة٢
page_0003,page_0003_raw_0008,14,14,0.9397,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0008.png,يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق
page_0003,page_0003_raw_0009,15,15,0.9765,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0009.png,المادة٣
page_0003,page_0003_raw_0002,16,16,0.8991,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0002.png,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١
page_0003,page_0003_raw_0023,17,17,0.9559,False,False,,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0023.png,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ
page_0003,page_0003_raw_0022,18,18,,True,True,empty_clean_ocr_text,0,layout_output\raw_box_crops\page_0003\page_0003_raw_0022.png,
